timestamp,open,high,low,close,volume,sma-50,ema-5,ema-10,ema-15,ema-20,ema-25,ema-30,ema-35,ema-40,ema-45,ema-50,ema-55,ema-60,ema-65,ema-70,ema-75,ema-80,ema-85,ema-90,ema-95,ema-100
2021-05-12,73356.7,74673.4,63494.6,64106.5,44.13669692,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5,64106.5
2021-05-13,64140.9,66995.2,60868.4,64683.6,57.35874096,64395.05,64298.86666666667,64211.42727272726,64178.6375,64161.461904761905,64150.89230769231,64143.73225806452,64138.56111111111,64134.65121951219,64131.59130434782,64129.131372549025,64127.110714285714,64125.42131147541,64123.987878787884,64122.75633802817,64121.686842105264,64120.74938271605,64119.920930232554,64119.183516483514,64118.52291666666,64117.92772277228
2021-05-14,64788.8,66525.8,63557.3,64532.9,14.93660923,64441.0,64376.87777777779,64269.87685950412,64222.9203125,64196.83696145125,64180.277514792906,64168.83985431842,64160.46882716049,64154.077989292084,64149.03950850661,64144.96543637063,64141.603188775516,64138.78126847621,64136.37915518825,64134.309680618935,64132.50824099723,64130.92594116751,64129.52509464575,64128.27618645091,64127.15577256944,64126.14499558867
2021-05-15,64381.4,65591.5,60400.0,60635.0,12.29206902,63489.5,63129.58518518519,63608.9901577761,63774.4302734375,63857.61439369399,63907.56385980884,63940.85018629789,63964.609447873794,63982.415648351,63996.255182049805,64007.319732983546,64016.36736060496,64023.90319409994,64030.27675654618,64035.73757693953,64040.468550444675,64044.606782126335,64048.257069188876,64051.50088564979,64054.40252730757,64057.013411517604
2021-05-16,60772.4,64094.7,56733.2,60065.5,26.61572953,62804.7,62108.22345679013,62964.719219998624,63310.81398925781,63496.46064191361,63612.020485977395,63690.82759363351,63747.99225632525,63791.34659233388,63825.352782830254,63852.73856698419,63875.264954869075,63894.11948281797,63910.13200634781,63923.899898715885,63935.86411490666,63946.35723195038,63955.63481176588,63963.896470580556,63971.300391321995,63977.9735419826
2021-05-17,59974.1,60193.9,54452.0,55863.5,39.06919813,61647.833333333336,60026.64897119343,61673.588452726144,62379.89974060059,62769.512009350416,63015.98044859452,63185.8387166249,63309.96490875162,63404.62236831759,63479.18527053329,63539.43509376913,63589.13049219518,63630.820483381314,63666.29467282213,63696.8463804422,63723.43348030386,63746.78051017383,63767.445630096896,63785.86577891945,63802.387883169446,63817.29089758691
2021-05-18,56175.5,58914.0,54331.0,55151.4,35.23200152,60719.77142857143,58401.565980795625,60487.73600677594,61476.337273025514,62043.977532269426,62411.01272177956,62667.48783168136,62856.71130270987,63002.02615522892,63117.107650075326,63210.4925410723,63287.782974616784,63352.80669704094,63408.267561524495,63456.129580993125,63497.853651874815,63534.548892638675,63567.07247590859,63596.09730026187,63622.15896893675,63645.68909763469
2021-05-19,55101.3,55866.0,40250.0,48251.1,83.74052752,59161.1875,55018.07732053042,58262.89309645303,59823.18261389732,60730.37014824377,61321.78866625806,61737.398294153536,62045.28845255932,62282.46878180312,62470.7594913764,62623.84969632437,62750.75858266618,62857.6687725478,62948.95945359951,63027.818888570786,63096.62329261495,63157.179784178465,63210.88706949211,63258.84461234402,63301.928573750556,63340.84574916668
2021-05-20,48240.4,55139.8,45531.7,52914.0,50.02342273,58467.055555555555,54316.71821368695,57290.36707891611,58959.534787160155,59985.953943649125,60675.03569193052,61168.14679130492,61537.99464963935,61825.47030464199,62055.24820914264,62243.07127686067,62399.44577614239,62531.64684557902,62644.869773187405,62742.922581850486,62828.659521756665,62904.26176481603,62971.424579503924,63031.485390094706,63085.51339513075,63134.37355611387
2021-05-21,53207.8,54675.8,43545.6,48438.4,72.88389442,57464.19,52357.27880912464,55680.91851911318,57644.39293876514,58886.186901396824,59733.756023320486,60346.872804769126,60810.23939132605,61172.44248490335,61463.21133048427,61701.71161894456,61900.83699842302,62069.57317851085,62214.37068915143,62339.97828377019,62449.968481710435,62547.07999284527,62633.447263701506,62710.75823866405,62780.36519939885,62843.36417876508
2021-05-22,48449.2,50262.5,45839.1,48483.6,33.79927676,56647.77272727273,51066.05253941643,54372.31515200168,56499.293821419495,57895.46433935903,58868.359406141986,59581.50036575177,60125.42609180794,60553.4745588105,60898.88040307191,61183.35430055458,61421.649962765056,61624.13143495312,61798.28672887411,61949.65776873442,62082.43246903385,62199.83357326884,62304.38104826659,62398.07344220989,62482.515924411375,62559.01241284893
